CamID,Source.sheet,Year,Locality/Population,Lat,Lon,sex.by.median.norm.depth.chr1.highest.depth.sample,sex.depth.genital.consensous
CAM047161,batch2 - all,2015,PR5,-22.33055556,-45.79805556,,
CAM047162,batch2 - all,2015,PR5,-22.33055556,-45.79805556,,
CAM047163,Mastersheet,2016,BA69,-11.90055556,-52.55111111,male,0
CAM047164,Mastersheet,2016,BA69,-11.90055556,-52.55111111,female,0
CAM047165,Mastersheet,2016,BA69,-11.90055556,-52.55111111,female,0
CAM047166,batch2 - all,2016,BA69,-11.90055556,-52.55111111,,
CAM047167,Mastersheet,2016,BA69,-11.90055556,-52.55111111,male,0
CAM047168,Mastersheet,2016,BA69,-11.90055556,-52.55111111,female,0
CAM047169,Mastersheet,2016,BA69,-11.90055556,-52.55111111,female,0
CAM047170,Mastersheet,2016,BA69,-11.90055556,-52.55111111,male,0
CAM047171,Mastersheet,2016,BA69,-11.90055556,-52.55111111,female,0
CAM047172,Mastersheet,2016,BA69,-11.90055556,-52.55111111,male,0
CAM047173,Mastersheet,2016,BA69,-11.90055556,-52.55111111,male,0
CAM047174,Mastersheet,2016,BA69,-11.90055556,-52.55111111,female,0
CAM047175,Mastersheet,2016,BA69,-11.90055556,-52.55111111,female,0
CAM047176,batch2 - all,2016,BA69,-11.90055556,-52.55111111,,
CAM047177,batch2 - all,2016,BA69,-11.90055556,-52.55111111,,
CAM047178,batch2 - all,2016,BA69,-11.90055556,-52.55111111,,
CAM047179,batch2 - all,2016,BA69,-11.90055556,-52.55111111,,
CAM047180,batch2 - all,2016,BA70,-11.81611111,-45.79805556,,
CAM047181,batch2 - all,2016,BA70,-11.81611111,-45.79805556,,
CAM047182,batch2 - all,2016,BA70,-11.81611111,-45.79805556,,
CAM047183,batch2 - all,2016,BA70,-11.81611111,-45.79805556,,
CAM047184,batch2 - all,2016,BA70,-11.81611111,-45.79805556,,
CAM047185,batch2 - all,2016,BA73,-11.81611111,-45.79805556,,
CAM047186,batch2 - all,2016,BA73,-11.81611111,-45.79805556,,
CAM047187,batch2 - all,2016,BA73,-11.81611111,-45.79805556,,
CAM047188,batch2 - all,2016,BA73,-11.81611111,-45.79805556,,
CAM047189,batch2 - all,2016,BA73,-11.81611111,-45.79805556,,
CAM047190,batch2 - all,2016,BA73,-11.81611111,-45.79805556,,
CAM047191,batch2 - all,2016,BA73,-11.81611111,-45.79805556,,
CAM047192,batch2 - all,2016,BA73,-11.81611111,-45.79805556,,
CAM047193,batch2 - all,2016,BA73,-11.81611111,-45.79805556,,
CAM047194,batch2 - all,2016,BA73,-11.81611111,-45.79805556,,
CAM047195,batch2 - all,2016,BA73,-11.81611111,-45.79805556,,
CAM047196,batch2 - all,2016,BA73,-11.81611111,-45.79805556,,
CAM047197,batch2 - all,2016,BA73,-11.81611111,-45.79805556,,
CAM047198,batch2 - all,2016,BA73,-11.81611111,-45.79805556,,
CAM047199,batch2 - all,2016,BA73,-11.81611111,-45.79805556,,
CAM047200,batch2 - all,2016,BA73,-11.81611111,-45.79805556,,
CAM047201,batch2 - all,2016,BA73,-11.81611111,-45.79805556,,
CAM047202,batch2 - all,2016,BA73,-11.81611111,-45.79805556,,
CAM047203,batch2 - all,2016,BA73,-11.81611111,-45.79805556,,
CAM047204,Mastersheet,2014,BA43,-11.81611111,-45.79805556,female,0
CAM047205,Mastersheet,2014,BA43,-11.81611111,-45.79805556,male,0
CAM047206,Mastersheet,2014,BA43,-11.81611111,-45.79805556,male,0
CAM047207,Mastersheet,2014,BA43,-11.81611111,-45.79805556,female,0
CAM047208,Mastersheet,2014,BA43,-11.81611111,-45.79805556,cant.be.det,0
CAM047209,Mastersheet,2014,BA43,-11.81611111,-45.79805556,male,0
CAM047210,Mastersheet,2014,BA43,-11.81611111,-45.79805556,male,0
CAM047211,Mastersheet,2014,BA43,-11.81611111,-45.79805556,cant.be.det,0
CAM047212,Mastersheet,2014,BA43,-11.81611111,-45.79805556,male,0
CAM047213,Mastersheet,2014,BA52,-11.63666667,-45.82805556,female,0
CAM047214,Mastersheet,2014,BA52,-11.63666667,-45.82805556,male,0
CAM047215,Mastersheet,2014,BA52,-11.63666667,-45.82805556,female,0
